Userd ID,Sub Type,Tenure,1,2,3,4,5,6,7,8,9,10,11,12,Churn
2928,Yearly,6,5,4,0,0,2,0,0,3,5,4,1,0,0
2934,Monthly,5,34,125,0,58,8,5,2,8,33,2,89,50,0
2937,Monthly,5,34,131,0,14,33,31,22,23,28,13,7,1,0
2938,Yearly,5,25,31,0,1,3,0,3,2,25,21,0,0,0
2939,Yearly,5,18,76,0,20,13,12,17,9,14,11,13,1,0
2940,Yearly,5,15,32,0,25,9,8,15,1,13,2,17,6,0
2942,Monthly,5,14,12,0,3,11,11,11,1,10,3,12,0,0
2953,Yearly,5,50,281,0,70,48,25,21,9,49,53,82,20,0
2957,Yearly,5,28,18,0,66,32,12,38,3,22,2,45,5,0
2985,Yearly,5,5,84,0,32,52,32,52,12,16,20,52,0,0
2986,Yearly,5,40,1264,0,344,76,52,56,8,60,4,124,48,0
2990,Yearly,5,32,83,0,4,8,19,6,6,4,0,9,2,0
2995,Monthly,5,10,9,0,4,6,7,6,8,8,3,18,2,0
2996,Yearly,5,39,71,0,81,91,119,84,1,35,1,6,31,0
2998,Yearly,4,23,204,0,120,28,16,20,20,40,8,228,28,0
2999,Yearly,4,45,280,0,104,44,20,36,44,16,0,16,12,0
3017,Monthly,4,34,46,0,16,43,32,11,1,33,0,0,1,0
3054,Yearly,5,18,33,0,11,25,16,19,3,9,2,10,5,0
3055,Monthly,5,33,254,0,36,44,38,10,0,12,4,34,2,0
3055,Yearly,5,33,254,0,36,44,38,10,0,12,4,34,2,0
3056,Monthly,5,28,114,0,38,28,6,10,6,16,4,26,4,0
3056,Yearly,5,28,114,0,38,28,6,10,6,16,4,26,4,0
3060,Yearly,5,34,87,0,19,47,18,9,5,16,4,1,2,0
3085,Yearly,5,13,21,0,23,15,4,15,7,10,3,45,9,0
3092,Yearly,5,2,9,0,0,3,2,2,0,1,0,0,0,0
3096,Yearly,5,9,18,0,14,11,11,16,4,7,2,4,1,0
3097,Yearly,5,37,208,0,25,7,6,3,1,15,2,0,5,0
3114,Monthly,5,11,8,0,11,21,25,3,4,8,0,10,9,0
3118,Yearly,3,3,21,0,2,6,8,10,5,2,2,3,0,0
3119,Yearly,4,14,54,0,16,46,22,54,14,18,12,20,6,0
